gold;num_bets;price
4886.56;63;79084
4886.56;53;42299
4886.56;19;23639
4886.56;25;23692
4886.56;38;23907
4886.56;49;35332
4886.56;54;51500
4729.52;31;23184
4729.52;47;25338
4729.52;30;25970
4729.52;30;27186
4729.52;45;27221
4729.52;36;27776
4729.52;31;35331
4729.52;28;35332
4729.52;56;36221
4729.52;53;47847
4729.52;48;51110
4729.52;53;51499
4752.55;34;24575
4752.55;32;25336
4752.55;35;25820
4752.55;22;25846
4752.55;25;25846
4752.55;19;25846
4752.55;13;26000
4752.55;24;35076
4752.55;41;36387
4752.55;32;50915
4752.55;20;51499
4752.55;37;54999
4711.68;43;20246
4711.68;38;20246
4711.68;40;22552
4711.68;22;22552
4711.68;56;25625
4711.68;50;25625
4711.68;26;25625
4711.68;26;25625
4740.23;28;20672
4740.23;29;22408
4740.23;27;22806
4740.23;28;22858
4740.23;32;25820
4770.62;14;20343
4770.62;56;105554
4770.62;38;20981
4770.62;25;20998
4770.62;21;21024
4770.62;26;21732
4770.62;20;25460
4770.62;33;26650
4770.62;19;26664
4770.62;39;26665
4770.62;29;37867
4770.62;48;37878
4770.62;29;38887
4770.62;41;50915
4635.01;34;19685
4635.01;30;20999
4635.01;23;21201
4635.01;29;21201
4635.01;32;21201
4635.01;39;21521
4635.01;26;21732
4635.01;26;22041
4635.01;20;31147
4635.01;26;34461
4635.01;37;46500
4733.17;39;23114
4733.17;28;23114
4733.17;29;23390
4733.17;15;23692
4733.17;29;23967
4733.17;22;23990
4733.17;26;25625
4733.17;14;25625
4733.17;14;25625
4733.17;40;34469
4733.17;24;34850
4716.38;15;20683
4716.38;20;20974
4716.38;45;20999
4716.38;53;22262
4716.38;35;23000
4716.38;29;28887
4716.38;54;45859
4675.61;18;22094
4675.61;27;22136
4659.27;33;21038
4659.27;39;21236
4659.27;31;23287
4659.27;42;23805
4659.27;30;25205
4659.27;51;26665
4659.27;52;28287
4659.27;14;34469
4659.27;48;34733
4659.27;43;52221
4693.26;121;20483
4693.26;147;20483
4693.26;135;20483
4693.26;95;20689
4693.26;99;20689
4693.26;163;20996
4693.26;21;21218
4693.26;33;26856
4693.26;33;26876
4693.26;36;36221
4548.31;30;19675
4548.31;25;20178
4548.31;20;20284
4548.31;22;20614
4548.31;45;20893
4548.31;22;21524
4548.31;23;26146
4548.31;37;28787
4548.31;41;37468
4793.21;266;18450
4793.21;30;19589
4793.21;33;19886
4793.21;21;20193
4793.21;266;20615
4793.21;69;20716
4793.21;42;21538
4793.21;35;21596
4793.21;30;22077
4793.21;41;45257
4538.78;36;16708
4538.78;48;16708
4538.78;35;16746
4538.78;32;17283
4538.78;22;19685
4538.78;15;20178
4538.78;59;20407
4538.78;40;20574
4212.67;7;17791
4212.67;11;18236
4212.67;15;18308
4212.67;26;18450
4212.67;57;18906
4212.67;22;18962
4212.67;21;19019
4212.67;43;19019
4212.67;26;19363
4212.67;30;19385
4212.67;30;19685
4212.67;9;32307
4212.67;7;32307
4118.45;17;21013
4118.45;30;22000
4118.45;37;22550
4118.45;53;23773
4118.45;50;24961
4118.45;43;25570
4118.45;36;25625
4118.45;35;27343
4121.14;30;14003
4121.14;15;14991
4121.14;58;15366
4121.14;20;15607
4121.14;24;15751
4121.14;17;16133
4121.14;23;16646
4121.14;32;16775
4121.14;17;17810
4121.14;35;20461
4121.14;43;20461
4121.14;37;20500
4121.14;59;22048
4121.14;41;23990
4121.14;36;49957
4047.99;25;16624
4047.99;38;17425
4047.99;27;17835
4047.99;53;18372
4047.99;25;18450
4047.99;37;18450
4047.99;38;19475
4047.99;37;19899
4047.99;35;25079
4047.99;23;28974
4047.99;16;47100
3929.94;23;16810
3929.94;68;16860
3929.94;28;16972
3929.94;46;16972
3929.94;27;16972
3929.94;33;16972
3929.94;50;16972
3929.94;33;17832
3929.94;24;19475
3929.94;21;19988
3836.28;21;18204
3836.28;19;18660
3836.28;25;19606
3836.28;33;23332
3836.28;47;34418
3836.28;45;34612
3789.36;53;19983
3789.36;266;20362
3789.36;57;21309
3789.36;69;21451
3789.36;35;21539
3789.36;79;30032
3773.95;46;16150
3773.95;27;16549
3773.95;59;17798
3773.95;33;17832
3773.95;61;18965
3773.95;25;20511
3773.95;51;20936
3773.95;38;22612
3773.95;89;25499
3773.95;33;28899
4070.13;37;17763
4070.13;35;19985
4070.13;25;20500
4070.13;30;20500
4070.13;30;20500
4070.13;50;20996
4070.13;51;21399
4070.13;294;44499
4070.13;126;45499
4040.41;17;16739
4040.41;39;16739
4040.41;17;16819
4040.41;14;16864
4040.41;25;16864
4040.41;17;16864
4040.41;16;17063
4040.41;25;17063
4040.41;19;17086
4040.41;25;17086
4040.41;21;17098
4040.41;29;17106
4040.41;19;17111
4040.41;49;17196
4040.41;20;17254
4040.41;18;17309
4040.41;16;17397
4040.41;21;18837
4040.41;32;19956
4217.37;46;18092
4217.37;31;20213
4217.37;51;20676
4217.37;51;27931
4217.37;43;28000
4217.37;55;28287
4016.12;21;21234
4016.12;20;20462
4016.12;37;17425
4016.12;44;15938
4016.12;66;15908
4016.12;39;14625
4016.12;43;16398
4016.12;27;15240
4016.12;60;17425
4016.12;31;44443
4016.12;25;15553
4016.12;60;17197
4016.12;15;15551
4054.15;33;29899
4054.15;13;23299
4054.15;23;27699
4054.15;41;18113
4054.15;28;16746
4054.15;42;16398
4054.15;22;16913
4054.15;40;16913
4054.15;31;16337
4054.15;29;17832
