gold;grade;price
4886.56;66;79084
4886.56;63;42299
4886.56;62;35332
4886.56;63;51500
4729.52;62;35331
4729.52;62;35332
4729.52;63;36221
4729.52;64;47847
4729.52;63;51110
4729.52;63;51499
4752.55;62;35076
4752.55;63;36387
4752.55;63;50915
4752.55;63;51499
4752.55;64;54999
4770.62;66;105554
4770.62;64;37867
4770.62;64;37878
4770.62;63;38887
4770.62;63;50915
4635.01;63;31147
4635.01;63;34461
4635.01;64;46500
4733.17;64;34469
4733.17;63;34850
4716.38;64;45859
4659.27;64;34469
4659.27;64;34733
4659.27;63;52221
4693.26;63;26856
4693.26;63;26876
4693.26;64;36221
4548.31;62;26146
4548.31;63;28787
4548.31;64;37468
4793.21;61;21596
4793.21;64;45257
4212.67;64;32307
4212.67;64;32307
4118.45;63;25570
4118.45;63;25625
4118.45;64;27343
4121.14;62;22048
4121.14;63;23990
4121.14;64;49957
4047.99;64;28974
4047.99;64;47100
3836.28;64;34418
3836.28;64;34612
3789.36;63;21309
3789.36;63;21451
3789.36;62;21539
3789.36;64;30032
3773.95;63;22612
3773.95;62;25499
3773.95;63;28899
4070.13;64;44499
4070.13;64;45499
4217.37;64;28000
4217.37;64;28287
4016.12;63;21234
4016.12;63;20462
4016.12;64;44443
4054.15;63;29899
4054.15;62;23299
4054.15;63;27699
3738.58;64;36600
3738.58;64;35500
3738.58;62;20500
3820.22;65;51665
3494.33;63;22262
3494.33;64;23776
3494.33;64;25625
3471.31;63;20499
3471.31;63;25554
3295.6;63;27037
3295.6;63;24590
3295.6;62;21665
3295.6;63;25554
3175.81;64;21441
3175.81;64;21995
3152.67;64;22819
3152.67;61;25554
3151.82;64;23762
3151.82;64;25625
3151.82;63;20001
3097.53;63;17660
3065.17;63;17660
3065.17;63;18269
3031.25;64;22588
3031.25;64;21539
2958.18;64;28499
2958.18;65;46637
2958.18;64;22537
2975.68;64;25886
2975.68;64;26481
3000.21;63;17263
3000.21;66;70212
3046.02;63;22833
3046.02;65;48461
3046.02;63;15841
3046.02;63;20500
3002.45;64;21758
3002.45;64;20284
3037.48;65;51110
3020.71;64;29077
3020.71;65;49799
3020.71;64;36616
3020.71;64;36616
3020.71;64;24966
3043.19;63;23692
3060.14;63;17388
3060.14;63;23390
3065.02;63;26025
3065.02;65;30908
3065.02;64;32307
3065.02;64;31681
3065.02;64;31499
3067.03;65;51250
3146.52;64;25625
3146.52;64;28246
3146.52;64;38471
3122.35;64;34899
3122.35;65;53299
3122.35;63;26650
3159.17;63;18486
3159.17;63;17660
3159.17;63;22666
3159.17;64;24400
3111.72;64;24326
3111.72;64;24935
3111.72;64;32000
3111.72;64;28500
3142.18;63;22724
3142.18;61;20001
3142.18;64;25899
3142.18;65;54443
3290;64;24354
3290;63;22399
3290;65;53846
3290;65;56375
3291.97;63;20217
3194.86;63;17388
3194.86;64;31428
3194.86;63;24190
3194.86;64;38776
