gold;num bets;price
4729.52;53;47847
4752.55;37;54999
4770.62;29;37867
4770.62;48;37878
4635.01;37;46500
4733.17;40;34469
4716.38;54;45859
4659.27;14;34469
4659.27;48;34733
4693.26;36;36221
4548.31;41;37468
4793.21;41;45257
4212.67;9;32307
4212.67;7;32307
4118.45;35;27343
4121.14;36;49957
4047.99;23;28974
4047.99;16;47100
3836.28;47;34418
3836.28;45;34612
3789.36;79;30032
4070.13;294;44499
4070.13;126;45499
4217.37;43;28000
4217.37;55;28287
4016.12;31;44443
3738.58;16;36600
3738.58;23;35500
3494.33;26;23776
3494.33;15;25625
3175.81;35;21441
3175.81;10;21995
3152.67;32;22819
3151.82;29;23762
3151.82;26;25625
3031.25;25;22588
3031.25;32;21539
2958.18;39;28499
2958.18;59;22537
2975.68;47;25886
2975.68;21;26481
3002.45;29;21758
3002.45;27;20284
3020.71;43;29077
3020.71;26;36616
3020.71;31;36616
3020.71;40;24966
3065.02;27;32307
3065.02;25;31681
3065.02;49;31499
3146.52;37;25625
3146.52;34;28246
3146.52;33;38471
3122.35;19;34899
3159.17;33;24400
3111.72;38;24326
3111.72;32;24935
3111.72;28;32000
3111.72;17;28500
3142.18;14;25899
3290;41;24354
3194.86;23;31428
3194.86;52;38776
3145.23;59;23732
3145.23;43;19495
3145.23;34;25600
3113.34;25;21008
3113.34;23;20794
2916.76;101;26923
2834.84;25;24770
2834.84;14;18450
2862.32;19;19236
2862.32;57;18557
2862.32;46;25599
2840.7;40;18269
2840.7;31;21274
2761.3;24;35305
2761.3;43;21847
2743.48;39;23692
2743.48;41;26127
2800.97;5;23583
2800.97;5;22558
2678.47;31;29998
2638.46;39;38471
2708.13;47;19513
2708.13;44;39930
2700.6;35;31113
2700.6;19;30750
2700.6;39;26499
2670.47;41;19423
2670.47;31;19460
2623.51;23;31873
2623.51;19;28169
2715.75;32;38000
2715.75;42;37776
2706.51;26;20284
2706.51;24;31052
2737.6;22;23370
2737.6;10;20367
2737.6;42;27776
2692.86;22;23370
2692.86;10;20367
2692.86;42;27776
2759.07;46;22092
2759.07;25;35554
2721.38;57;27479
2721.38;15;19050
2804.29;66;34168
2849.42;7;20500
2849.42;13;21539
2849.42;10;21525
2772.87;33;31225
2772.87;55;19791
2790.18;27;40000
2790.18;33;33332
2740.2;12;21539
2763.32;17;24280
2658.2;40;25601
2626.57;23;19195
2624.36;47;23762
2624.36;25;21111
2568.09;39;19475
2598.84;39;19475
2524.47;37;40785
2524.47;36;19021
2531.49;30;30383
2534.48;24;29725
2591.76;26;23404
2679.26;27;42380
2629.69;44;19423
2638.52;48;26397
2601.85;55;21312
2601.85;24;18572
2532.51;37;30184
2478.8;51;17425
2495.78;42;23641
2495.78;54;17183
2474.18;19;24743
2474.18;29;35040
2555.01;43;17488
2551.13;61;16714
2551.13;26;22550
2604.24;32;24718
2604.24;38;29077
2626.65;33;38056
2582.15;23;17061
2613.35;45;20367
2613.35;13;23332
2562.52;15;26923
2587.5;33;40680
2653.78;23;29977
2634.19;30;18154
2634.19;23;18842
2631.9;23;27577
2631.9;27;24600
2664.83;24;17488
2770.65;27;24627
2494.46;32;30154
2494.46;19;17832
2494.46;37;16549
2481.73;19;22616
2433.3;86;17991
2433.41;29;23692
2433.41;53;17063
2433.41;74;17650
2433.41;31;18887
2393.01;23;22616
2393.01;33;38887
2463.96;123;19431
2432.6;15;21399
2448.38;17;23776
2448.38;19;27776
2433.29;31;28700
2433.29;43;29929
2433.29;29;29233
