gold;num_bets;price
3820.22;65;51665
2958.18;32;46637
3046.02;25;48461
3037.48;33;51110
3020.71;27;49799
3065.02;57;30908
3067.03;28;51250
3122.35;39;53299
3142.18;30;54443
3290;56;53846
3290;45;56375
3194.86;47;54443
3145.23;52;56502
2892.77;35;57776
2840.7;33;38041
2800.97;40;61513
2678.47;63;68394
2678.47;24;43076
2670.47;17;38841
2670.47;38;38463
2620.2;26;41000
2706.51;33;61110
2737.6;61;54644
2692.86;61;54644
2759.07;22;47776
2768.63;23;50915
2626.57;28;37663
2624.36;44;32813
2568.09;40;30714
2598.84;40;30714
2524.47;97;60797
2534.48;29;42466
2591.76;66;37338
2629.69;41;43676
2601.85;53;51250
2478.8;28;35538
2459.34;32;42309
2474.18;28;61142
2551.13;45;32169
2551.13;36;51250
2626.65;42;35006
2562.52;41;38041
2587.5;24;48127
2653.78;18;56202
2664.83;41;38041
2494.46;22;61117
2494.46;24;53332
2425.42;24;51250
2425.42;24;53332
2393.01;25;61116
2432.6;29;43747
2433.29;32;61110
2400.97;26;65611
